frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
275,188335284.8,20.14,1,0,0.6777,0.5857
276,188335315.6,21.77,1,0,0.6771,0.5849
277,188335339.3,29.70,1,0,0.6732,0.5678
278,188335371.0,28.97,1,1,0.6690,0.5295
279,188335410.1,23.46,1,1,0.6647,0.4991
280,188335435.6,30.25,1,1,0.6622,0.4761
281,188335473.7,24.79,1,1,0.6604,0.4578
282,188335500.4,27.46,1,1,0.6594,0.4427
283,188335529.5,30.57,1,1,0.6597,0.4326
284,188335568.2,38.34,1,1,0.6596,0.4245
285,188335615.2,24.60,1,1,0.6588,0.4178
286,188335641.7,32.66,1,1,0.6574,0.4094
287,188335676.3,25.53,1,1,0.6570,0.4000
288,188335703.9,27.93,1,1,0.6583,0.3918
289,188335738.7,26.94,1,1,0.6608,0.3859
290,188335767.6,32.49,1,1,0.6635,0.3822
291,188335816.2,21.11,1,1,0.6658,0.3783
292,188335839.2,23.39,1,1,0.6692,0.3726
293,188335864.1,34.48,1,1,0.6739,0.3680
294,188335900.1,31.17,1,1,0.6780,0.3666
295,188335933.2,27.37,1,1,0.6810,0.3664
296,188335962.5,45.87,1,1,0.6826,0.3684
297,188336019.2,23.30,1,1,0.6830,0.3724
298,188336050.2,24.56,1,1,0.6820,0.3778
299,188336076.8,27.86,1,1,0.6807,0.3835
